"SampleID.1"	"Observed"	"Chao1"	"se.chao1"	"ACE"	"se.ACE"	"Shannon"	"Simpson"	"InvSimpson"	"Fisher"	"TreatmentGroup"	"Site"	"Date"	"Description"
"C172N1"	7056	12528.271059216	251.988093730703	13392.5487319103	74.1349783449026	5.28476527906775	0.985311647248757	68.0811536144103	1339.20347505037	"Early"	"North"	172	"Sample of day 172 at site North 1"
"C172N2"	6704	11766.5247787611	240.905683149407	12545.1461044211	71.393540570533	5.47152379466335	0.985425699057437	68.613925562606	1391.93510743472	"Early"	"North"	172	"Sample of day 172 at site North 2"
"C172N3"	7700	11552.2	176.640521331596	12720.1754804211	68.2153908357545	5.72647156400824	0.9857722854943	70.2853574689977	1594.07073866962	"Early"	"North"	172	"Sample of day 172 at site North 3"
"C172P1"	4461	9381.28393351801	273.388142820326	10600.4966452024	69.0782372764979	4.82219855238877	0.975615443479793	41.0095627193928	901.228907474434	"Early"	"Point"	172	"Sample of day 172 at site Point 1"
"C172P2"	6439	12120	269.395291054326	13284.1160105352	75.8469868149241	5.23883614719307	0.979902369233595	49.7571087668498	1329.60451306045	"Early"	"Point"	172	"Sample of day 172 at site Point 2"
"C172P3"	5205	9283.47902097902	220.449972324577	9912.78367116259	63.1166783196987	4.79603890505731	0.943449738894272	17.6833843106467	994.2266674241	"Early"	"Point"	172	"Sample of day 172 at site Point 3"
"C172S1"	6293	11845.8789101917	271.69749596744	12572.4691538278	72.4801331608315	5.21234135285257	0.980507483629193	51.3017396511042	1253.3503469096	"Early"	"South"	172	"Sample of day 172 at site South 1"
"C172S2"	5928	12022.0820734341	300.634817320361	12883.4034763631	74.2106760027685	5.14458336985557	0.982502611247836	57.1513849388721	1219.07076361623	"Early"	"South"	172	"Sample of day 172 at site South 2"
"C172S3"	6188	11654.1346153846	268.417337208063	12417.5112920395	71.9007924591782	5.17264275710474	0.982061558398717	55.7462026092866	1222.74933261065	"Early"	"South"	172	"Sample of day 172 at site South 3"
"C178N1"	7622	14796.3980181668	314.706692341606	16137.1986430404	83.3363754917781	5.19230914826772	0.981513938976808	54.0948122342265	1505.36644579427	"Early"	"North"	178	"Sample of day 178 at site North 1"
"C178N2"	6451	12639.2054794521	294.442411841413	13701.5629419256	77.1958226198095	5.12223275588119	0.980351554542015	50.8946115934877	1296.15789215217	"Early"	"North"	178	"Sample of day 178 at site North 2"
"C178N3"	5320	11499.1914357683	320.891791201197	12261.3688434578	72.5083746668207	5.12683135304812	0.979925005837486	49.8132149830114	1166.01545082601	"Early"	"North"	178	"Sample of day 178 at site North 3"
"C178P1"	6348	13332.1873767258	326.945235449173	14539.2389037663	78.9686619454156	5.14241804223334	0.98429819079322	63.6869284826229	1318.90574978471	"Early"	"Point"	178	"Sample of day 178 at site Point 1"
"C178P2"	6505	12901.6066037736	299.016909109618	13746.659003772	76.2953733372726	5.04755498843611	0.983285172195608	59.8271194715639	1273.11352879027	"Early"	"Point"	178	"Sample of day 178 at site Point 2"
